x_Raw,y_Raw,z_Raw,x_Gravity,y_Gravity,z_Gravity,x_Linear,y_Linear,z_Linear,x_Gyroscope,y_Gyroscope,z_Gyroscope,x_Geomagnetic,y_Geomagnetic,z_Geomagnetic,rotationMatirx0,rotationMatirx1,rotationMatirx2,rotationMatirx3,rotationMatirx4,rotationMatirx5,RrotationMatirx,rotationMatirx7,rotationMatirx8
0.23114233,-9.661096,-0.6844533,0.03803091,-9.797983,-0.4104532,-0.08942797,0.08258915,-0.3735862,0.014108083,-0.0013182637,-0.018335847,7.5482674,-33.595642,7.761051,-0.83121425,-0.05905122,0.5528071,0.5554399,-0.04553541,0.8303089,-0.023858452,0.99721587,0.070649095
-0.029964823,-9.783265,-0.49041954,0.05354998,-9.797874,-0.41130602,0.22089526,-0.055042267,-0.09490195,0.06311021,-2.5300018E-4,0.01468732,7.4732666,-33.6519,7.461052,-0.769825,-0.029602414,0.6375683,0.63824785,-0.040491857,0.76876545,0.00305901,0.99874127,0.050065313
-0.03954674,-9.816802,-0.29638577,0.050237842,-9.7992525,-0.37751874,0.1260063,0.058846474,-0.28446636,0.15046182,-2.5300018E-4,0.013622058,7.304516,-33.689392,7.5173016,-0.7536684,-0.016801007,0.65703994,0.65724236,-0.025389612,0.75325143,0.0040266076,0.99953645,0.030177686
0.20958303,-9.634746,0.26176074,0.041260775,-9.801803,-0.3055389,-0.15969539,0.03493023,0.5756751,0.025825983,0.0018775269,-0.018335847,6.854515,-33.970642,7.742302,-0.74447924,0.0019442613,0.6676428,0.6672916,0.034728415,0.7439865,-0.021739671,0.9993949,-0.027151972
0.17844181,-9.651514,-1.1898992,0.047203142,-9.802314,-0.28776935,-0.13685985,-0.06218815,0.01414904,0.0045207115,-0.0023835273,8.388953E-4,6.8920174,-33.801895,8.023552,-0.8870144,-0.072617576,0.4559959,0.46137723,-0.10015079,0.88153327,-0.018346462,0.9923187,0.12233928
0.19521014,-9.773684,-0.18619376,0.04576266,-9.801693,-0.3083633,-0.099465534,0.106152534,-0.45899677,0.16644076,-2.5300018E-4,-0.0044874223,6.967018,-33.67064,8.154802,-0.8294585,-0.036638662,0.5573654,0.5584057,-0.030311346,0.8290141,-0.01347947,0.9988688,0.04560124
0.089809105,-9.730565,-0.3706456,0.048757017,-9.804188,-0.21420775,0.041286014,0.12959003,-0.16225655,0.22396499,-2.5300018E-4,0.028535748,6.967018,-33.801895,8.379801,-0.82334316,-0.029188747,0.56679285,0.56746906,-0.026110541,0.82298076,-0.009222508,0.99923295,0.038061645
0.35091627,-9.663491,0.33841604,0.029509231,-9.806339,-0.07225513,-0.27492034,0.07730484,0.4198937,0.14087445,8.1226334E-4,-0.020466374,6.8170166,-33.85814,9.054802,-0.81532526,-0.009333317,0.57892793,0.5778662,0.04951274,0.81462824,-0.036267493,0.99872994,-0.03497558
-0.21920763,-9.804825,0.508495,0.045206167,-9.806545,0.0028523272,0.14305174,-0.032312393,0.52961224,0.0023901847,0.0018775269,0.0029694224,6.7232666,-33.52063,9.092302,-0.7093261,0.052313976,0.70293653,0.70452696,0.021037702,0.7093653,0.022321548,0.99840903,-0.051779196
0.12813675,-9.8599205,-0.3586682,0.054578807,-9.806498,-0.0040365714,0.4643232,0.012042999,-0.58941096,0.12383024,-0.0023835273,0.010426267,6.573265,-33.276886,8.811052,-0.85226977,-0.030072963,0.52223736,0.52294135,-0.024197595,0.8520252,-0.012986035,0.9992548,0.036349274
